10.66064;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.67703;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.69361;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.71004;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.72668;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.74364;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.75984;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.77664;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.79292;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.80967;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.82668;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.84268;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.85967;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.87579;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.89263;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.90889;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.92562;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.942;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
